,Q
0,0.26332748248336857
1,0.28204483594771373
2,0.3099879061568226
3,0.2843548752834467
4,0.307168662406677
5,0.3160985177221758
6,0.3289025776413877
7,0.38190138445428934
8,0.3498413832199546
9,0.3647267019907762
10,0.37459214478306757
11,0.36781989020366207
12,0.3485173295117946
13,0.360269649865289
14,0.35004368440240785
15,0.2398886389918124
16,0.29787194201463024
17,0.3244275699571917
18,0.32724961320875134
19,0.32326610124116406
20,0.32017621710823796
21,0.31784629579793167
22,0.31263643811681785
23,0.34717920759471427
24,0.36072933825796855
25,0.36516803774270556
26,0.3905737385819308
27,0.36951293363887683
28,0.3454946886197525
29,0.3601224376786263
30,0.2586994643215876
31,0.2968465579630364
32,0.34704216671933835
33,0.34604371527640254
34,0.3376650524611151
35,0.3602218428458126
36,0.32570547330667
37,0.33573196780606174
38,0.35365357277445914
39,0.3766587955028473
40,0.37164799778381513
41,0.3813814236810036
42,0.34103113319598943
43,0.35057334040398297
44,0.33574571430120426
45,0.25219123940955546
46,0.2553573367796492
47,0.2410404426007231
48,0.33616125500424326
49,0.3345719687180124
50,0.3466393931726725
51,0.3592053239079961
52,0.35378307544249776
53,0.3555093614078348
54,0.3767238826758181
55,0.3915468253968254
56,0.38228102461691726
57,0.396458997501717
58,0.40773988300628583
59,0.37885728083376385
60,0.24877748883486908
61,0.28052250207204305
62,0.30577776890059266
63,0.30099274376417234
64,0.3022499587213752
65,0.33906707486104054
66,0.34368790637309
67,0.3317843537414966
68,0.34445222124613095
69,0.34647070986637846
70,0.3548157302114251
71,0.3343079981871143
72,0.33336777261653755
73,0.33043590448192095
74,0.3606933204907248
75,0.25816450030860305
76,0.31984160997732425
77,0.32132699952290467
78,0.33203389734880756
79,0.34925539182903104
80,0.35715965251879256
81,0.37252494845613054
82,0.38933648003472227
83,0.3839041700605487
84,0.3684935082756195
85,0.37993071580503385
86,0.3680951545473797
87,0.3633307581507488
88,0.3630447781597156
89,0.34286928040079634
90,0.24605092262987516
91,0.2891798538399135
92,0.3219412187507019
93,0.33096428022168933
94,0.33250489446572745
95,0.3172633558747415
96,0.35622514849032505
97,0.3482009070294785
98,0.3468001115334859
99,0.36274225317435194
100,0.35158738666561345
101,0.3602353741496599
102,0.3536426180216734
103,0.36609997349831847
104,0.37354908330366676
105,0.25382109567776295
106,0.3076008555008449
107,0.3057035164208324
108,0.33657361525741936
109,0.34218358054851866
110,0.34606580123357583
111,0.3378915590592444
112,0.3496930701615083
113,0.358036059710456
114,0.36628883281904295
115,0.30925456109272564
116,0.3490434208243577
117,0.3437469655426638
118,0.3607222569302419
119,0.3504824855093694
120,0.2607008466603951
121,0.2966554989226816
122,0.32364559691689576
123,0.32193025315812934
124,0.33012746814202615
125,0.3568988662131519
126,0.3325271067279003
127,0.3447796239027642
128,0.37598099805765517
129,0.38969067805903707
130,0.40056401097180416
131,0.36760416516069333
132,0.3900499357330582
133,0.38111235827664397
134,0.3787414965986394
135,0.21066084684374073
136,0.2855939610773483
137,0.3201850069206714
138,0.3247691993171433
139,0.33108883038521264
140,0.34405008446371815
141,0.33163683057358184
142,0.374313715190013
143,0.3682666475051296
144,0.3529289548752274
145,0.3645907455657377
146,0.36413056405904487
147,0.3676536281179138
148,0.3815716952274671
149,0.3838477324263039
150,0.25875540493624544
151,0.26347173983588973
152,0.3024861156417691
153,0.3235111420999258
154,0.27967249093396607
155,0.3040493625007108
156,0.3246243337360368
157,0.32036980155416067
158,0.33570663672626533
159,0.3506704427917954
160,0.36034672031472964
161,0.37615873015873014
162,0.3779515205603218
163,0.3588022960326851
164,0.34249545158464545
165,0.2449158758346856
166,0.24620540056166856
167,0.2906554335976591
168,0.2784157370656263
169,0.3071731317805081
170,0.32069764830080183
171,0.352304008600329
172,0.37606501049493635
173,0.3810351918139193
174,0.35471489484288
175,0.3209224797156219
176,0.3349200644436091
177,0.36089720015469356
178,0.3687527215709564
179,0.36162715266034146
180,0.21927427891339282
181,0.2929525187360936
182,0.286309225900068
183,0.2886692291538151
184,0.3088301794041468
185,0.34186396750986836
186,0.3626612707566959
187,0.3712012711729633
188,0.350006650682673
189,0.35851689827133415
190,0.30461666666666665
191,0.34535180477348915
192,0.3531882577958824
193,0.35119169172606224
194,0.36229021569391184
195,0.2632118875077732
196,0.3032174061041046
197,0.31331520359284815
198,0.335496170346578
199,0.33873388249370884
200,0.3231000523702938
201,0.34095961627755295
202,0.34033925368057283
203,0.3373572056411555
204,0.3292838318994823
205,0.35234591493745626
206,0.3479323083457684
207,0.33569201424758954
208,0.34821356232474426
209,0.3421768707482993
210,0.2621493738418728
211,0.3012688518297557
212,0.3128578244274809
213,0.32717202067193474
214,0.32863670888573226
215,0.31160838851219474
216,0.3119556292272051
217,0.33047638165261817
218,0.34729416966404064
219,0.33849567076809184
220,0.3489935506123931
221,0.3596024170868458
222,0.3736520005072702
223,0.3721197192226955
224,0.35028956824348156
